source_row,point_name,tagged_result,normalized_tags,id_family,id_floor,id_unit,tag_floor,tag_zone,missing_tags,duplicate_record,floor_disagreement,unit_disagreement,equipment_ref,mapping_status,mapping_reason
12,PIU_1_4_EffOccHeatSetpt,"piu, variableAirVolume, floorNum: 1, zone: 4, heating, sp","piu, variableAirVolume, floorNum: 1, zone: 4, heating, sp",PIU,1.0,4.0,1.0,4.0,False,False,False,False,PIU-01-04,mapped_high_confidence,exact floor-unit identifier match
13,PIU_1_4_EffOccCoolSetpt,"piu, variableAirVolume, floorNum: 1, zone: 4, cooling, sp","piu, variableAirVolume, floorNum: 1, zone: 4, cooling, sp",PIU,1.0,4.0,1.0,4.0,False,False,False,False,PIU-01-04,mapped_high_confidence,exact floor-unit identifier match
14,VAV_2_1_SpaceTemp,"vav, variableAirVolume, floorNum: 2, zone: 1, temp, sensor","vav, variableAirVolume, floorNum: 2, zone: 1, temp, sensor",VAV,2.0,1.0,2.0,1.0,False,False,False,False,PIU-02-01,mapped_high_confidence,exact floor-unit identifier match
15,VAV_2_1_EffOccHeatSetpt,"vav, variableAirVolume, floorNum: 2, zone: 1, heating, sp","vav, variableAirVolume, floorNum: 2, zone: 1, heating, sp",VAV,2.0,1.0,2.0,1.0,False,False,False,False,PIU-02-01,mapped_high_confidence,exact floor-unit identifier match
16,VAV_2_1_EffOccCoolSetpt,"vav, variableAirVolume, floorNum: 2, zone: 1, cooling, sp","vav, variableAirVolume, floorNum: 2, zone: 1, cooling, sp",VAV,2.0,1.0,2.0,1.0,False,False,False,False,PIU-02-01,mapped_high_confidence,exact floor-unit identifier match
17,PIU_2_2_SpaceTemp,"piu, variableAirVolume, floorNum: 2, zone: 2, temp, sensor","piu, variableAirVolume, floorNum: 2, zone: 2, temp, sensor",PIU,2.0,2.0,2.0,2.0,False,False,False,False,PIU-02-02,mapped_high_confidence,exact floor-unit identifier match
18,PIU_2_2_EffOccHeatSetpt,"piu, variableAirVolume, floorNum: 2, zone: 2, heating, sp","piu, variableAirVolume, floorNum: 2, zone: 2, heating, sp",PIU,2.0,2.0,2.0,2.0,False,False,False,False,PIU-02-02,mapped_high_confidence,exact floor-unit identifier match
19,PIU_2_2_EffOccCoolSetpt,"piu, variableAirVolume, floorNum: 2, zone: 2, cooling, sp","piu, variableAirVolume, floorNum: 2, zone: 2, cooling, sp",PIU,2.0,2.0,2.0,2.0,False,False,False,False,PIU-02-02,mapped_high_confidence,exact floor-unit identifier match
20,VAV_2_3_SpaceTemp,"vav, variableAirVolume, floorNum: 2, zone: 3, temp, sensor","vav, variableAirVolume, floorNum: 2, zone: 3, temp, sensor",VAV,2.0,3.0,2.0,3.0,False,False,False,False,PIU-02-03,mapped_high_confidence,exact floor-unit identifier match
21,VAV_2_3_EffOccHeatSetpt,"vav, variableAirVolume, floorNum: 2, zone: 3, heating, sp","vav, variableAirVolume, floorNum: 2, zone: 3, heating, sp",VAV,2.0,3.0,2.0,3.0,False,False,False,False,PIU-02-03,mapped_high_confidence,exact floor-unit identifier match
22,VAV_2_3_EffOccCoolSetpt,"vav, variableAirVolume, floorNum: 2, zone: 3, cooling, sp","vav, variableAirVolume, floorNum: 2, zone: 3, cooling, sp",VAV,2.0,3.0,2.0,3.0,False,False,False,False,PIU-02-03,mapped_high_confidence,exact floor-unit identifier match
23,PIU_2_4_SpaceTemp,"piu, variableAirVolume, floorNum: 2, zone: 4, temp, sensor","piu, variableAirVolume, floorNum: 2, zone: 4, temp, sensor",PIU,2.0,4.0,2.0,4.0,False,False,False,False,PIU-02-04,mapped_high_confidence,exact floor-unit identifier match
24,PIU_2_4_EffOccHeatSetpt,"piu, variableAirVolume, floorNum: 2, zone: 4, heating, sp","piu, variableAirVolume, floorNum: 2, zone: 4, heating, sp",PIU,2.0,4.0,2.0,4.0,False,False,False,False,PIU-02-04,mapped_high_confidence,exact floor-unit identifier match
25,PIU_2_4_EffOccCoolSetpt,"piu, variableAirVolume, floorNum: 2, zone: 4, cooling, sp","piu, variableAirVolume, floorNum: 2, zone: 4, cooling, sp",PIU,2.0,4.0,2.0,4.0,False,False,False,False,PIU-02-04,mapped_high_confidence,exact floor-unit identifier match
26,VAV_3_1_SpaceTemp,"vav, variableAirVolume, floorNum: 3, zone: 1, temp, sensor","vav, variableAirVolume, floorNum: 3, zone: 1, temp, sensor",VAV,3.0,1.0,3.0,1.0,False,False,False,False,PIU-03-01,mapped_high_confidence,exact floor-unit identifier match
27,VAV_3_1_EffOccHeatSetpt,"vav, variableAirVolume, floorNum: 3, zone: 1, heating, sp","vav, variableAirVolume, floorNum: 3, zone: 1, heating, sp",VAV,3.0,1.0,3.0,1.0,False,False,False,False,PIU-03-01,mapped_high_confidence,exact floor-unit identifier match
28,VAV_3_1_EffOccCoolSetpt,"vav, variableAirVolume, floorNum: 3, zone: 1, cooling, sp","vav, variableAirVolume, floorNum: 3, zone: 1, cooling, sp",VAV,3.0,1.0,3.0,1.0,False,False,False,False,PIU-03-01,mapped_high_confidence,exact floor-unit identifier match
29,PIU_3_2_SpaceTemp,"piu, variableAirVolume, floorNum: 3, zone: 2, temp, sensor","piu, variableAirVolume, floorNum: 3, zone: 2, temp, sensor",PIU,3.0,2.0,3.0,2.0,False,False,False,False,PIU-03-02,mapped_high_confidence,exact floor-unit identifier match
30,PIU_3_2_EffOccHeatSetpt,"piu, variableAirVolume, floorNum: 3, zone: 2, heating, sp","piu, variableAirVolume, floorNum: 3, zone: 2, heating, sp",PIU,3.0,2.0,3.0,2.0,False,False,False,False,PIU-03-02,mapped_high_confidence,exact floor-unit identifier match
31,PIU_3_2_EffOccCoolSetpt,"piu, variableAirVolume, floorNum: 3, zone: 2, cooling, sp","piu, variableAirVolume, floorNum: 3, zone: 2, cooling, sp",PIU,3.0,2.0,3.0,2.0,False,False,False,False,PIU-03-02,mapped_high_confidence,exact floor-unit identifier match
32,VAV_3_3_SpaceTemp,"vav, variableAirVolume, floorNum: 3, zone: 3, temp, sensor","vav, variableAirVolume, floorNum: 3, zone: 3, temp, sensor",VAV,3.0,3.0,3.0,3.0,False,False,False,False,PIU-03-03,mapped_high_confidence,exact floor-unit identifier match
33,VAV_3_3_EffOccHeatSetpt,"vav, variableAirVolume, floorNum: 3, zone: 3, heating, sp","vav, variableAirVolume, floorNum: 3, zone: 3, heating, sp",VAV,3.0,3.0,3.0,3.0,False,False,False,False,PIU-03-03,mapped_high_confidence,exact floor-unit identifier match
34,VAV_3_3_EffOccCoolSetpt,"vav, variableAirVolume, floorNum: 3, zone: 3, cooling, sp","vav, variableAirVolume, floorNum: 3, zone: 3, cooling, sp",VAV,3.0,3.0,3.0,3.0,False,False,False,False,PIU-03-03,mapped_high_confidence,exact floor-unit identifier match
35,VAV_4_1_SpaceTemp,"vav, floorNum: 4, zone: 1, temp, sensor","vav, floorNum: 4, zone: 1, temp, sensor",VAV,4.0,1.0,4.0,1.0,False,False,False,False,,abstain,no exact floor-unit entry in schedule
36,VAV_4_1_EffOccHeatSetpt,"vav, floorNum: 4, zone: 1, heating, sp","vav, floorNum: 4, zone: 1, heating, sp",VAV,4.0,1.0,4.0,1.0,False,False,False,False,,abstain,no exact floor-unit entry in schedule
37,VAV_4_1_EffOccCoolSetpt,"vav, floorNum: 4, zone: 1, cooling, sp","vav, floorNum: 4, zone: 1, cooling, sp",VAV,4.0,1.0,4.0,1.0,False,False,False,False,,abstain,no exact floor-unit entry in schedule
38,VAV_4_2_SpaceTemp,"vav, floorNum: 4, zone: 2, temp, sensor","vav, floorNum: 4, zone: 2, temp, sensor",VAV,4.0,2.0,4.0,2.0,False,False,False,False,,abstain,no exact floor-unit entry in schedule
39,VAV_4_2_EffOccHeatSetpt,"vav, floorNum: 4, zone: 2, heating, sp","vav, floorNum: 4, zone: 2, heating, sp",VAV,4.0,2.0,4.0,2.0,False,False,False,False,,abstain,no exact floor-unit entry in schedule
40,VAV_4_2_EffOccCoolSetpt,"vav, floorNum: 4, zone: 2, cooling, sp","vav, floorNum: 4, zone: 2, cooling, sp",VAV,4.0,2.0,4.0,2.0,False,False,False,False,,abstain,no exact floor-unit entry in schedule
41,VAV_5_1_SpaceTemp,"vav, floorNum: 5, zone: 1, temp, sensor","vav, floorNum: 5, zone: 1, temp, sensor",VAV,5.0,1.0,5.0,1.0,False,False,False,False,,abstain,no exact floor-unit entry in schedule
42,VAV_5_1_EffOccHeatSetpt,"vav, floorNum: 5, zone: 1, heating, sp","vav, floorNum: 5, zone: 1, heating, sp",VAV,5.0,1.0,5.0,1.0,False,False,False,False,,abstain,no exact floor-unit entry in schedule
43,VAV_5_1_EffOccCoolSetpt,"vav, floorNum: 5, zone: 1, cooling, sp","vav, floorNum: 5, zone: 1, cooling, sp",VAV,5.0,1.0,5.0,1.0,False,False,False,False,,abstain,no exact floor-unit entry in schedule
44,VAV_2_9_SpaceTemp,"vav, floorNum: 2, zone: 9, temp, sensor","vav, floorNum: 2, zone: 9, temp, sensor",VAV,2.0,9.0,2.0,9.0,False,False,False,False,,abstain,no exact floor-unit entry in schedule
45,VAV_2_9_EffOccHeatSetpt,"vav, floorNum: 2, zone: 9, heating, sp","vav, floorNum: 2, zone: 9, heating, sp",VAV,2.0,9.0,2.0,9.0,False,False,False,False,,abstain,no exact floor-unit entry in schedule
46,VAV_2_9_EffOccCoolSetpt,"vav, floorNum: 2, zone: 9, cooling, sp","vav, floorNum: 2, zone: 9, cooling, sp",VAV,2.0,9.0,2.0,9.0,False,False,False,False,,abstain,no exact floor-unit entry in schedule
47,PIU_2_3_SpaceTemp,"piu, floorNum: 3, zone: 3, temp, sensor","piu, floorNum: 3, zone: 3, temp, sensor",PIU,2.0,3.0,3.0,3.0,False,False,True,False,,review,identifier conflicts with location tags
48,VAV_1_4_EffOccCoolSetpt,"vav, floorNum: 1, zone: 9, cooling, sp","vav, floorNum: 1, zone: 9, cooling, sp",VAV,1.0,4.0,1.0,9.0,False,False,False,True,,review,identifier conflicts with location tags
49,AHU_1_SupplyAirTemp,"ahu, supply, air, temp, sensor","ahu, supply, air, temp, sensor",,,,,,False,False,False,False,,not_applicable,identifier is not a VAV/PIU point
50,Boiler_Enable,"boiler, enable, cmd","boiler, enable, cmd",,,,,,False,False,False,False,,not_applicable,identifier is not a VAV/PIU point
51,Weather_OAT,"weather, outside, air, temp, sensor","weather, outside, air, temp, sensor",,,,,,False,False,False,False,,not_applicable,identifier is not a VAV/PIU point
52,VAV_6_1_Unknown,,,VAV,6.0,1.0,,,True,False,False,False,,abstain,no exact floor-unit entry in schedule
53,VAV_1_1_SpaceTemp,"vav, variableAirVolume, floorNum: 1, zone: 1, temp, sensor","vav, variableAirVolume, floorNum: 1, zone: 1, temp, sensor",VAV,1.0,1.0,1.0,1.0,False,True,False,False,PIU-01-01,mapped_high_confidence,exact floor-unit identifier match
